		L v S log2 FC				
PA1367	52.38320341	-0.813667222	0.566875566	-1.435354197	0.151186191	0.994061663
PA0554	16.25839222	-0.813245183	0.652054718	-1.247203894	0.212322745	0.994061663
PA4262	16.25839222	-0.813245183	0.652054718	-1.247203894	0.212322745	0.994061663
PA4128	85.43451033	-0.813043628	0.538635896	-1.509449396	0.131183978	0.994061663
PA2958.1	780.1355651	-0.812600942	0.60304861	-1.347488292	0.177823022	0.994061663
PA4394	115.412313	-0.812061443	0.532335419	-1.525469497	0.127142036	0.994061663
PA0669	772.5186197	-0.812005463	0.602267247	-1.348247754	0.17757871	0.994061663
PA4642	32.47224089	-0.811487126	0.605091827	-1.341097483	0.179888804	0.994061663
PA5150	2830.786531	-0.811067898	0.655177359	-1.237936395	0.215739646	0.994061663
PA3078	210.2900538	-0.810407063	0.534801314	-1.515342317	0.129685737	0.994061663
PA4232	121.1584297	-0.808208415	0.531604336	-1.520319457	0.128430706	0.994061663
PA4818	157.5059586	-0.807875326	0.531932909	-1.518754174	0.128824385	0.994061663
EBG00001435414	11674.59466	-0.805236641	0.655327181	-1.228755138	0.219163626	0.994061663
PA4376	163.2520753	-0.804724119	0.531821478	-1.513147084	0.130242302	0.994061663
PA1755	248.6865856	-0.804602825	0.537001359	-1.498325491	0.134048704	0.994061663
PA4267	17.28289364	-0.804171604	0.648955317	-1.239178697	0.215279328	0.994061663
PA3844	39.24285902	-0.803058905	0.589062737	-1.363282472	0.172793504	0.994061663
PA0070	60.17832297	-0.802863416	0.556075544	-1.44380278	0.14879446	0.994061663
PA5073	564.0993946	-0.802432829	0.575562343	-1.394171873	0.16326571	0.994061663
PA5492	808.2425391	-0.801366011	0.604793933	-1.325023232	0.185163446	0.994061663
PA3796	94.25413131	-0.800676469	0.534432958	-1.49817944	0.134086636	0.994061663
EBG00001435418	6442.599498	-0.800253323	0.659066786	-1.214221896	0.224663001	0.994061663
PA1044	431.0923832	-0.798570327	0.555910354	-1.43650918	0.150857506	0.994061663
PA4533	90.55701747	-0.798402204	0.535291751	-1.491527194	0.135823137	0.994061663
EBG00001435490	26146.61273	-0.798031134	0.654350772	-1.219576973	0.22262528	0.994061663
PA4870	138.3967798	-0.797985452	0.530317183	-1.504732408	0.132392888	0.994061663
PA0179	11.53677694	-0.797164213	0.659407604	-1.208909645	0.22669756	0.994061663
PA3585	11.53677694	-0.797164213	0.659407604	-1.208909645	0.22669756	0.994061663
PA5557	18.30739507	-0.795624209	0.645644701	-1.232294183	0.217839212	0.994061663
PA0709	29.79962847	-0.795214636	0.611072414	-1.301342719	0.193141171	0.994061663
PA3787	260.5797109	-0.795165975	0.536985355	-1.480796389	0.138660839	0.994061663
EBG00001435423	101.0247494	-0.794806275	0.53230138	-1.49315088	0.135397696	0.994061663
PA1823	254.2099846	-0.793667104	0.536268492	-1.479980861	0.138878354	0.994061663
PA3926	244.1431445	-0.791779551	0.535221536	-1.479349199	0.13904701	0.994061663
EBG00001435427	3579.697074	-0.79147243	0.65785076	-1.203118515	0.228930462	0.994061663
PA1583	79.46567593	-0.789442019	0.539146138	-1.464244967	0.143127028	0.994061663
PA1825	30.8241299	-0.789162961	0.60801165	-1.297940526	0.194307773	0.994061663
PA0763	12.56127837	-0.788482538	0.65906644	-1.196362749	0.231555031	0.994061663
EBG00001435494	19.3318965	-0.787580148	0.64220225	-1.226374009	0.220057962	0.994061663
PA2577	81.51467878	-0.783709741	0.537507209	-1.458045078	0.144828118	0.994061663
PA5316.1	14588.72215	-0.783582703	0.654504309	-1.197215499	0.23122257	0.994061663
PA0278	60.57921483	-0.783118487	0.55391643	-1.413784544	0.157425173	0.994061663
PA1426	66.32533153	-0.782223859	0.548000396	-1.427414768	0.153460377	0.994061663
PA2345	66.32533153	-0.782223859	0.548000396	-1.427414768	0.153460377	0.994061663
PA3443	72.07144824	-0.78106459	0.543145605	-1.43803905	0.150422974	0.994061663
PA3106	298.1299154	-0.78021082	0.538916466	-1.447739805	0.147689833	0.994061663
PA1602	13.5857798	-0.780136838	0.657647301	-1.186254148	0.235521948	0.994061663
PA5027	469.4443714	-0.778755554	0.559190587	-1.392647823	0.163726314	0.994061663
